{'total_steps': 5000000.0, 'learning_rate': 5e-05, 'epsilon': 1e-05, 'state_dict_name': 'sd5.pt'}
Start Training...
Step: 4030464	Mean reward: 54.6875
Step: 4055040	Mean reward: 54.375
Step: 4079616	Mean reward: 55.0
Step: 4104192	Mean reward: 54.0625
Step: 4128768	Mean reward: 55.9375
Step: 4153344	Mean reward: 52.1875
Step: 4177920	Mean reward: 52.5
Step: 4202496	Mean reward: 55.625
Step: 4227072	Mean reward: 57.1875
Step: 4251648	Mean reward: 53.125
Step: 4276224	Mean reward: 53.75
Step: 4300800	Mean reward: 54.0625
Step: 4325376	Mean reward: 56.875
Step: 4349952	Mean reward: 52.8125
Step: 4374528	Mean reward: 55.9375
Step: 4399104	Mean reward: 56.25
Step: 4423680	Mean reward: 55.0
Step: 4448256	Mean reward: 50.625
Step: 4472832	Mean reward: 53.75
Step: 4497408	Mean reward: 53.125
Step: 4521984	Mean reward: 54.0625
Step: 4546560	Mean reward: 54.0625
Step: 4571136	Mean reward: 51.5625
Step: 4595712	Mean reward: 55.625
Step: 4620288	Mean reward: 55.9375
Step: 4644864	Mean reward: 53.75
Step: 4669440	Mean reward: 54.0625
Step: 4694016	Mean reward: 55.625
Step: 4718592	Mean reward: 55.625
Step: 4743168	Mean reward: 52.1875
Step: 4767744	Mean reward: 55.3125
Step: 4792320	Mean reward: 57.5
Step: 4816896	Mean reward: 50.9375
Step: 4841472	Mean reward: 54.375
Step: 4866048	Mean reward: 54.375
Step: 4890624	Mean reward: 56.25
Step: 4915200	Mean reward: 53.4375
Step: 4939776	Mean reward: 55.625
Step: 4964352	Mean reward: 54.0625
Step: 4988928	Mean reward: 52.8125
Completed training!
